,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-24 04:32:22,32.3182,-86.9023,843780,16086,0,,1.0,17208.81427072403,6241500.0,0,1.9064211050273767,84000001.0,USA,127294.80939430186,0
1,Alaska,US,2021-11-24 04:32:22,61.3707,-152.4044,148974,864,0,,2.0,20364.297479990983,3487096.0,0,0.5799669741028636,84000002.0,USA,476675.52918822493,0
2,American Samoa,US,2021-11-24 04:32:22,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-24 04:32:22,33.7298,-111.4312,1248184,22062,0,,4.0,17148.406786525702,14397419.0,0,1.7675278644815189,84000004.0,USA,197801.6043212011,0
4,Arkansas,US,2021-11-24 04:32:22,34.9697,-92.3731,525130,8627,0,,5.0,17401.06381991673,4199504.0,0,1.6428312989164588,84000005.0,USA,139157.61262162818,0
5,California,US,2021-11-24 04:32:22,36.1162,-119.6816,5054726,73939,0,,6.0,12791.112765282784,109529283.0,0,1.4629644762332332,84000006.0,USA,277203.5453434245,0
6,Colorado,US,2021-11-24 04:32:22,39.0598,-105.3111,814468,9012,0,,8.0,14143.17308520481,12903478.0,0,1.1064891438337665,84000008.0,USA,224067.88573047976,0
7,Connecticut,US,2021-11-24 04:32:22,41.5978,-72.7554,415732,8853,0,,9.0,11660.547944667569,11020670.0,0,2.1294968874178557,84000009.0,USA,309110.3184680504,0
8,Delaware,US,2021-11-24 04:32:22,39.3185,-75.5071,150876,2162,0,,10.0,15494.103294021961,2486865.0,0,1.4329648187915904,84000010.0,USA,255386.8288414852,0
9,Diamond Princess,US,2021-11-24 04:32:22,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-24 04:32:22,38.8974,-77.0268,66433,1196,0,,11.0,9413.119961912806,2304153.0,0,1.8003100868544248,84000011.0,USA,326483.35314679873,0
11,Florida,US,2021-11-24 04:32:22,27.7663,-81.6868,3721503,61147,0,,12.0,17327.258453718845,43402849.0,0,1.6430727047647151,84000012.0,USA,202082.97084557838,0
12,Georgia,US,2021-11-24 04:32:22,33.0406,-83.6431,1658363,30298,0,,13.0,15619.260907284188,12915543.0,0,1.8269823916717869,84000013.0,USA,121644.80024955205,0
13,Grand Princess,US,2021-11-24 04:32:22,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-11-24 04:32:22,13.4443,144.7937,19117,263,0,,66.0,11640.45326952,259989.0,0,1.3757388711617933,316.0,GUM,158308.82487258644,0
15,Hawaii,US,2021-11-24 04:32:22,21.0943,-157.4983,86991,1002,0,,15.0,6143.987592098721,2674018.0,0,1.1518432941338759,84000015.0,USA,188860.15120010846,0
16,Idaho,US,2021-11-24 04:32:22,44.2405,-114.4788,304563,3883,0,,16.0,17042.636949411466,1044896.0,0,1.2749414735210778,84000016.0,USA,58469.949330326526,0
17,Illinois,US,2021-11-24 04:32:22,40.3495,-88.9861,1779842,28727,0,,17.0,14045.668732220884,38278601.0,0,1.6140196714090351,84000017.0,USA,302076.5602670681,0
18,Indiana,US,2021-11-24 04:32:22,39.8494,-86.2583,1080505,17369,0,,18.0,16049.760116241016,15203031.0,0,1.607489090749233,84000018.0,USA,225824.9620221802,0
19,Iowa,US,2021-11-24 04:32:22,42.0115,-93.2105,516907,7268,0,,19.0,16383.376597032713,1751420.0,0,1.4060556347660218,84000019.0,USA,55511.288180610885,0
20,Kansas,US,2021-11-24 04:32:22,38.5266,-96.7265,459085,6645,0,,20.0,15758.170935230459,1892626.0,0,1.4474443730463855,84000020.0,USA,64964.71029212781,0
21,Kentucky,US,2021-11-24 04:32:22,37.6681,-84.6701,775728,10760,0,,21.0,17363.132888194817,7662029.0,0,1.3870841325825547,84000021.0,USA,171499.32414480648,0
22,Louisiana,US,2021-11-24 04:32:22,31.1695,-91.8678,768714,14768,0,,22.0,16535.772503578348,10179313.0,0,1.9211306155475247,84000022.0,USA,218966.74707461766,0
23,Maine,US,2021-11-24 04:32:22,44.6939,-69.3819,116948,1300,0,,23.0,8700.115755550463,3084655.0,0,1.1116051578479325,84000023.0,USA,229476.823596278,0
24,Maryland,US,2021-11-24 04:32:22,39.0639,-76.8021,579591,11145,0,,24.0,9586.862023792197,14837414.0,0,1.9229077056061947,84000024.0,USA,245421.7556999378,0
25,Massachusetts,US,2021-11-24 04:32:22,42.2302,-71.5301,900985,19309,0,,25.0,13071.956588194449,32917270.0,0,2.1430989417137907,84000025.0,USA,477580.78596411203,0
26,Michigan,US,2021-11-24 04:32:22,43.3266,-84.5361,1427191,24928,0,,26.0,14290.692256833157,18454255.0,0,1.7466477857553755,84000026.0,USA,184785.4134689222,0
27,Minnesota,US,2021-11-24 04:32:22,45.6945,-93.9002,887368,9353,0,,27.0,15734.501825651036,12723472.0,0,1.0540159212412437,84000027.0,USA,225608.1957120607,0
28,Mississippi,US,2021-11-24 04:32:22,32.7416,-89.6787,512200,10253,0,,28.0,17210.159840787543,2655143.0,0,2.0017571261226084,84000028.0,USA,89214.04808697414,0
29,Missouri,US,2021-11-24 04:32:22,38.4561,-92.2884,900102,13006,0,,29.0,14665.785081307677,7758721.0,0,1.444947350411398,84000029.0,USA,126416.48912215346,0
30,Montana,US,2021-11-24 04:32:22,46.9219,-110.4544,189187,2605,0,,30.0,17701.24385045351,2167802.0,0,1.3769445046435538,84000030.0,USA,202829.9609460524,0
31,Nebraska,US,2021-11-24 04:32:22,41.1254,-98.2681,304432,3112,0,,31.0,15737.73474882238,4103720.0,0,1.0222315656698375,84000031.0,USA,212143.4568095252,0
32,Nevada,US,2021-11-24 04:32:22,38.3135,-117.0554,454351,7952,0,,32.0,14750.908720207675,4757538.0,0,1.75018873073901,84000032.0,USA,154457.69629849916,0
33,New Hampshire,US,2021-11-24 04:32:22,43.4525,-71.5639,154579,1678,0,,33.0,11368.518751411146,2828297.0,0,1.08552908221686,84000033.0,USA,208007.2162393332,0
34,New Jersey,US,2021-11-24 04:32:22,40.2989,-74.521,1236151,28295,0,,34.0,13917.187090120791,16216420.0,0,2.2889598439025653,84000034.0,USA,182572.316061692,0
35,New Mexico,US,2021-11-24 04:32:22,34.8405,-106.2485,306743,5289,0,,35.0,14628.899161543457,5205718.0,0,1.724244726041018,84000035.0,USA,248266.2153184642,0
36,New York,US,2021-11-24 04:32:22,42.1657,-74.9481,2685067,57250,0,,36.0,13802.444704082713,79517427.0,0,2.132162810090028,84000036.0,USA,408755.1220056832,0
37,North Carolina,US,2021-11-24 04:32:22,35.6301,-79.8064,1521760,18642,0,,37.0,14509.418498173736,17565774.0,0,1.2250289138891808,84000037.0,USA,167483.15516923778,0
38,North Dakota,US,2021-11-24 04:32:22,47.5289,-99.78399999999999,159373,1899,0,,38.0,20913.390249087344,1937823.0,0,1.1915443644782993,84000038.0,USA,254286.79031364905,0
39,Northern Mariana Islands,US,2021-11-24 04:32:22,15.0979,145.6739,395,3,0,,69.0,716.3063977948642,17542.0,0,0.7594936708860759,580.0,MNP,31811.25779776585,0
40,Ohio,US,2021-11-24 04:32:22,40.3888,-82.7649,1653380,26482,0,,39.0,14144.630467700681,17887666.0,0,1.5840278701810837,84000039.0,USA,153028.59929335874,0
41,Oklahoma,US,2021-11-24 04:32:22,35.5653,-96.9289,661675,11814,0,,40.0,16721.755100050013,4653199.0,0,1.7854686968677975,84000040.0,USA,117594.9735289948,0
42,Oregon,US,2021-11-24 04:32:22,44.571999999999996,-122.0709,386634,5066,0,,41.0,9166.858910358802,7964473.0,0,1.3102831101248211,84000041.0,USA,188832.8504124368,0
43,Pennsylvania,US,2021-11-24 04:32:22,40.5908,-77.2098,1696959,33003,0,,42.0,13255.432417571987,19579795.0,0,1.9448319022439555,84000042.0,USA,152943.38246970842,0
44,Puerto Rico,US,2021-11-24 04:32:22,18.2208,-66.5901,187919,3264,0,,72.0,5884.064033686384,3081171.0,0,1.7369185659778947,630.0,PRI,96476.71317289633,0
45,Rhode Island,US,2021-11-24 04:32:22,41.6809,-71.5118,188135,2913,0,,44.0,17759.290742249337,5961155.0,0,1.5483562335556913,84000044.0,USA,562712.333189536,0
46,South Carolina,US,2021-11-24 04:32:22,33.8569,-80.945,914384,14135,0,,45.0,17759.463819509103,9984226.0,0,1.5458494461845351,84000045.0,USA,193916.88876096046,0
47,South Dakota,US,2021-11-24 04:32:22,44.2998,-99.4388,163721,2318,0,,46.0,18506.678844616967,1050042.0,0,1.415823260302588,84000046.0,USA,118694.5478427281,0
